,jq_l1_industry_code,jq_l1_industry_name,jq_l2_industry_code,jq_l2_industry_name,sw_l1_industry_code,sw_l1_industry_name,sw_l2_industry_code,sw_l2_industry_name,sw_l2_industry_code,sw_l2_industry_name,zjw_industry_code,zjw_industry_name
000565.XSHE,HY002,材料指数,HY409,特种化工指数,801030,化工I,801034,化学制品II,850335,涂料油漆油墨制造III,C26,化学原料和化学制品制造业
000566.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
000567.XSHE,HY011,房地产指数,HY500,资产管理与托管银行指数,801790,非银金融I,801191,多元金融II,851921,多元金融III,J69,其他金融业
000568.XSHE,HY005,日常消费指数,HY478,白酒与葡萄酒指数,801120,食品饮料I,801123,饮料制造II,851231,白酒III,C15,酒、饮料和精制茶制造业
000569.XSHE,,,,,,,,,,,C31,黑色金属冶炼和压延加工业
000570.XSHE,HY003,工业指数,HY598,农用农业机械指数,801890,机械设备I,801072,通用机械II,850714,内燃机III,C34,通用设备制造业
000571.XSHE,HY003,工业指数,HY425,综合类行业指数,801020,采掘I,801021,煤炭开采II,850221,煤炭开采III,S90,综合
000572.XSHE,HY004,可选消费指数,HY444,汽车制造指数,801880,汽车I,801094,汽车整车II,850911,乘用车III,C36,汽车制造业
000573.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000576.XSHE,HY002,材料指数,HY419,纸制品指数,801740,国防军工I,801743,地面兵装II,857431,地面兵装III,C35,专用设备制造业
000578.XSHE,,,,,,,,,,,C26,化学原料和化学制品制造业
000581.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
000582.XSHE,HY003,工业指数,HY441,海港与服务指数,801170,交通运输I,801171,港口II,851711,港口III,G55,水上运输业
000583.XSHE,,,,,,,,,,,I65,软件和信息技术服务业
000584.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850727,其它专用机械III,C35,专用设备制造业
000585.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801734,高低压设备II,857341,高压设备III,C38,电气机械和器材制造业
000586.XSHE,HY008,信息技术指数,HY516,通信设备指数,801770,通信I,801102,通信设备II,851013,通信传输设备III,C39,计算机、通信和其他电子设备制造业
000587.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801140,轻工制造I,801142,家用轻工II,851434,珠宝首饰III,C41,其他制造业
000589.XSHE,HY004,可选消费指数,HY443,轮胎与橡胶指数,801030,化工I,801037,橡胶II,850361,轮胎III,C29,橡胶和塑料制品业
000590.XSHE,HY006,医疗保健指数,HY572,中药指数,801150,医药生物I,801155,中药II,851521,中药III,C27,医药制造业
000591.XSHE,HY010,公用事业指数,HY601,新能源发电业者指数,801160,公用事业I,801161,电力II,851615,新能源发电III,D44,电力、热力生产和供应业
000592.XSHE,HY002,材料指数,HY418,林木产品指数,801010,农林牧渔I,801011,林业II,850131,林业III,A02,林业
000593.XSHE,HY010,公用事业指数,HY529,燃气指数,801160,公用事业I,801163,燃气II,851631,燃气III,D45,燃气生产和供应业
000594.XSHE,,,,,,,,,,,F51,批发业
000595.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850712,机械基础件III,C34,通用设备制造业
000596.XSHE,HY005,日常消费指数,HY478,白酒与葡萄酒指数,801120,食品饮料I,801123,饮料制造II,851231,白酒III,C15,酒、饮料和精制茶制造业
000597.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
000598.XSHE,HY010,公用事业指数,HY531,水务指数,801160,公用事业I,801164,水务II,851621,水务III,D46,水的生产和供应业
000599.XSHE,HY004,可选消费指数,HY443,轮胎与橡胶指数,801030,化工I,801037,橡胶II,850361,轮胎III,C29,橡胶和塑料制品业
000600.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851611,火电III,D44,电力、热力生产和供应业
000601.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851612,水电III,D44,电力、热力生产和供应业
000602.XSHE,,,,,,,,,,,D44,电力、热力生产和供应业
000603.XSHE,HY002,材料指数,HY414,金属非金属指数,801050,有色金属I,801055,工业金属II,850553,铅锌III,B09,有色金属矿采选业
000605.XSHE,HY010,公用事业指数,HY531,水务指数,801160,公用事业I,801164,水务II,851621,水务III,D46,水的生产和供应业
000606.XSHE,HY008,信息技术指数,HY510,互联网软件与服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I64,互联网和相关服务
000607.XSHE,HY004,可选消费指数,HY463,出版指数,801760,传媒I,801751,营销传播II,852243,营销服务III,R85,新闻和出版业
